text,label
Surface spalling on rolling elements leads to unstable vibration patterns. Frequency components related to ball spin frequency and its harmonics are detected. The envelope spectrum reveals ball fault frequency modulated by cage speed. Irregular and erratic impulses appear in the vibration signal.,3
The frequency spectrum shows BPFO with limited sideband activity. The shock pulse pattern is consistent with outer race surface defects. The vibration signal shows amplitude modulation at outer race defect frequency. Outer race fault is identified through characteristic frequency analysis.,2
Outer race pitting creates periodic loading variation on rolling elements. Outer race defect frequency components maintain stable amplitude over time. Envelope spectrum peaks correspond to outer race characteristic frequency. Repetitive impacts at constant intervals indicate outer race damage.,2
The time-domain signal exhibits sharp spikes with high crest factor. The bearing shows signs of inner race spalling or pitting. Envelope analysis highlights the inner race fault frequency. Inner race surface degradation is detected through vibration monitoring.,1
The bearing operates under normal conditions with no signs of degradation. The overall vibration intensity is within the normal operating range. No characteristic fault frequencies are present in the spectrum. Spectral energy is concentrated at the fundamental rotation frequency. RMS vibration values are well below the warning threshold. All monitoring parameters indicate healthy bearing condition.,0
Repetitive impacts at constant intervals indicate outer race damage. Envelope spectrum peaks correspond to outer race characteristic frequency. The bearing exhibits outer raceway surface damage. Vibration levels increase in the low-to-mid frequency range.,2
Ball fault severity is assessed through changes in vibration statistical indicators. Rolling element damage creates complex fault signatures in vibration data. Irregular and erratic impulses appear in the vibration signal. Ball spin frequency (BSF) components appear in the frequency spectrum.,3
Spectral components at twice the ball spin frequency indicate rolling element damage. The impact pattern is irregular due to rolling element defect orientation changes. Surface spalling on rolling elements leads to unstable vibration patterns. Irregular and erratic impulses appear in the vibration signal. Rolling element damage creates complex fault signatures in vibration data.,3
Inner race fault progression is indicated by increasing vibration severity. Ball pass frequency inner race (BPFI) components dominate the spectrum. Vibration energy increases notably in the high-frequency band.,1
The fault location on the outer race is confirmed by directional vibration analysis. Low-frequency periodic impulses characterize the vibration pattern. Periodic impulsive behavior is observed without shaft speed modulation. Outer race defect frequency components maintain stable amplitude over time. Multiple harmonics of the outer race defect frequency are present. Stationary outer race damage produces consistent impact patterns.,2
The vibration signal shows amplitude modulation at outer race defect frequency. Envelope spectrum peaks correspond to outer race characteristic frequency. An outer race defect has developed on the bearing. Repetitive impacts at constant intervals indicate outer race damage. Outer race pitting creates periodic loading variation on rolling elements. Ball pass frequency outer race dominates the lower frequency spectrum.,2
An inner race defect is developing on the bearing surface. The kurtosis value of vibration signal is elevated indicating impulsive behavior. High-frequency periodic impulses are detected in the vibration signal. Envelope analysis highlights the inner race fault frequency.,1
Outer race pitting creates periodic loading variation on rolling elements. The bearing exhibits outer raceway surface damage. The shock pulse pattern is consistent with outer race surface defects. Ball pass frequency outer race dominates the lower frequency spectrum. The outer race fault characteristic frequency (BPFO) is clearly visible. Periodic impulsive behavior is observed without shaft speed modulation.,2
Localized damage on the inner race causes periodic impact excitation. The frequency spectrum reveals inner race defect frequency at multiple harmonics. Periodic transient impacts are observed in the vibration waveform. High-frequency resonance bands are excited by inner race fault impacts. Impulsive vibration components appear at regular intervals corresponding to inner race defect. The bearing shows signs of inner race spalling or pitting.,1
The frequency domain is clean with only shaft rotation frequency visible. The machinery runs smoothly without any unusual acoustic emissions. No significant vibration spikes are detected in the time domain. Spectral analysis reveals a flat and uniform frequency distribution.,0
The time-domain signal exhibits sharp spikes with high crest factor. The bearing shows signs of inner race spalling or pitting. Envelope analysis highlights the inner race fault frequency. Localized damage on the inner race causes periodic impact excitation. The frequency spectrum reveals inner race defect frequency at multiple harmonics.,1
The vibration signal shows amplitude modulation at outer race defect frequency. The outer race fault characteristic frequency (BPFO) is clearly visible. Outer race pitting creates periodic loading variation on rolling elements. Outer race defect frequency components maintain stable amplitude over time.,2
The envelope spectrum reveals ball fault frequency modulated by cage speed. The impact pattern is irregular due to rolling element defect orientation changes. The rolling element fault produces variable vibration depending on defect orientation. Vibration characteristics change with bearing cage rotation.,3
Outer race defect frequency components maintain stable amplitude over time. Multiple harmonics of the outer race defect frequency are present. Periodic impulsive behavior is observed without shaft speed modulation. The time-domain signal contains periodic transients with moderate amplitude. Stationary outer race damage produces consistent impact patterns. Outer race fault is identified through characteristic frequency analysis.,2
Frequency components related to ball spin frequency and its harmonics are detected. The vibration amplitude fluctuates unpredictably during operation. Ball fault severity is assessed through changes in vibration statistical indicators. A rolling element defect is present in the bearing.,3
The vibration amplitude fluctuates unpredictably during operation. Ball spin frequency (BSF) components appear in the frequency spectrum. Surface spalling on rolling elements leads to unstable vibration patterns. The spectrum contains rolling element defect frequency with cage frequency modulation.,3
Envelope spectrum peaks correspond to outer race characteristic frequency. Stationary outer race damage produces consistent impact patterns. Outer race pitting creates periodic loading variation on rolling elements. The shock pulse pattern is consistent with outer race surface defects. Periodic impulsive behavior is observed without shaft speed modulation. Multiple harmonics of the outer race defect frequency are present.,2
The bearing shows signs of inner race spalling or pitting. Sidebands spaced at shaft speed appear around the BPFI peaks. High-frequency periodic impulses are detected in the vibration signal. The kurtosis value of vibration signal is elevated indicating impulsive behavior. The fault is located on the inner raceway of the bearing.,1
Frequency components related to ball spin frequency and its harmonics are detected. The envelope spectrum reveals ball fault frequency modulated by cage speed. Surface spalling on rolling elements leads to unstable vibration patterns. Irregular and erratic impulses appear in the vibration signal. The time-domain signal shows intermittent bursts of high vibration.,3
The overall vibration intensity is within the normal operating range. Spectral analysis reveals a flat and uniform frequency distribution. All monitoring parameters indicate healthy bearing condition. The bearing vibration is smooth with consistent amplitude.,0
Periodic impulsive behavior is observed without shaft speed modulation. Outer race pitting creates periodic loading variation on rolling elements. Multiple harmonics of the outer race defect frequency are present.,2
Periodic transient impacts are observed in the vibration waveform. Ball pass frequency inner race (BPFI) components dominate the spectrum. Sidebands spaced at shaft speed appear around the BPFI peaks. The bearing shows signs of inner race spalling or pitting. Impulsive vibration components appear at regular intervals corresponding to inner race defect.,1
Outer race fault is identified through characteristic frequency analysis. Ball pass frequency outer race dominates the lower frequency spectrum. The vibration signal shows amplitude modulation at outer race defect frequency. An outer race defect has developed on the bearing. Low-frequency periodic impulses characterize the vibration pattern.,2
No sideband frequencies are observed around the main spectral peaks. The machinery runs smoothly without any unusual acoustic emissions. No abnormal wear patterns are detected during inspection. No significant vibration spikes are detected in the time domain.,0
An outer race defect has developed on the bearing. Periodic impulsive behavior is observed without shaft speed modulation. The frequency spectrum shows BPFO with limited sideband activity. The outer race fault characteristic frequency (BPFO) is clearly visible. Outer race fault is identified through characteristic frequency analysis.,2
RMS vibration values are well below the warning threshold. The frequency spectrum shows no abnormal peaks or harmonic components. All monitoring parameters indicate healthy bearing condition.,0
The machinery runs smoothly without any unusual acoustic emissions. No characteristic fault frequencies are present in the spectrum. No abnormal wear patterns are detected during inspection. Peak-to-peak vibration amplitude is stable across measurement cycles.,0
High-frequency resonance bands are excited by inner race fault impacts. Envelope analysis highlights the inner race fault frequency. Vibration energy increases notably in the high-frequency band. The fault is located on the inner raceway of the bearing.,1
Ball pass frequency inner race (BPFI) components dominate the spectrum. Periodic transient impacts are observed in the vibration waveform. Inner race surface degradation is detected through vibration monitoring.,1
No sideband frequencies are observed around the main spectral peaks. No significant vibration spikes are detected in the time domain. The bearing operates under normal conditions with no signs of degradation.,0
Spectral analysis reveals a flat and uniform frequency distribution. Operating temperature and noise levels are within acceptable limits. The bearing lubrication condition is adequate and effective. RMS vibration values are well below the warning threshold. The frequency spectrum shows no abnormal peaks or harmonic components.,0
The bearing exhibits outer raceway surface damage. Envelope spectrum peaks correspond to outer race characteristic frequency. An outer race defect has developed on the bearing. The shock pulse pattern is consistent with outer race surface defects. The time-domain signal contains periodic transients with moderate amplitude.,2
Localized damage on the inner race causes periodic impact excitation. Vibration energy increases notably in the high-frequency band. The frequency spectrum reveals inner race defect frequency at multiple harmonics. Inner race fault progression is indicated by increasing vibration severity.,1
Frequency components related to ball spin frequency and its harmonics are detected. A rolling element defect is present in the bearing. The spectrum contains rolling element defect frequency with cage frequency modulation. Vibration characteristics change with bearing cage rotation.,3
The frequency spectrum shows BPFO with limited sideband activity. An outer race defect has developed on the bearing. The outer race fault characteristic frequency (BPFO) is clearly visible. Low-frequency periodic impulses characterize the vibration pattern.,2
Impulsive vibration components appear at regular intervals corresponding to inner race defect. Inner race fault progression is indicated by increasing vibration severity. High-frequency resonance bands are excited by inner race fault impacts. The fault is located on the inner raceway of the bearing.,1
Ball spin frequency (BSF) components appear in the frequency spectrum. The vibration amplitude fluctuates unpredictably during operation. A rolling element defect is present in the bearing.,3
